,author,book
0,Agatha Christie,A Murder is Announced
1,Stephen King,The Tommyknockers
2,James Patterson,NYPD Red
3,Nora Roberts,Läbi aja
4,William Shakespeare,The Taming of the Shrew
5,Arthur Conan Doyle,Sherlock Holmes: tutti i romanzi
6,Charles Dickens,Barnaby Rudge: A Tale of the Riots of 'Eighty
7,Jane Austen,Emma
8,Terry Pratchett,"Łups! (Świat Dysku, #34)"
9,Neil Gaiman,Amerikanska Gudar
10,Fyodor Dostoyevsky,Crime and Punishment
11,Isaac Asimov,"Foundation (Foundation, #1)"
12,Various,Daily Wisdom for Women 2016 Devotional Collection
13,J.R.R. Tolkien,"یاران حلقه (The Lord of the Rings, #1)"
14,C.S. Lewis,"Häxan och lejonet (Berättelsen om Narnia, #2)"
15,Haruki Murakami,De broodjesroofverhalen
16,J.K. Rowling,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
17,George R.R. Martin,Adara und der Eisdrache
18,Leo Tolstoy,İvan İlyiç'in Ölümü
19,R.L. Stine,Revenge Of The Living Dummy (Goosebumps HorrorLand #1)
20,Edgar Allan Poe,Tales of Terror
21,Mark Twain,On Masturbation
22,Roald Dahl,My Uncle Oswald
23,Oscar Wilde,El retrato de Dorian Gray
24,Philip K. Dick,Do Androids Dream of Electric Sheep?
25,Jules Verne,A Journey to the Center of the Earth
26,Gabriel Garcia Marquez,Memories of my Melanchoic Whores by Gabriel Garcia Marquez
27,H.P. Lovecraft,The Whisperer in Darkness
28,Enid Blyton,"The Queen Elizabeth Family (Family, #4)"
29,Rick Riordan,"El ladrón del rayo (Percy Jackson, #1)"
30,Walt Disney Company,The Fox and the Hound (Golden Books)
31,Paulo Coelho,The Spy
32,Debbie Macomber,Sweet Tomorrows (Rose Harbor #5)
33,Dean Koontz,Strangers
34,Cassandra Clare,"Clockwork Prince (The Infernal Devices, #2)"
35,John Grisham,El Jurado
36,Charlaine Harris,"El club de los muertos (Sookie Stackhouse, #3)"
37,Franz Kafka,مسخ
38,H.G. Wells,The Complete Science Fiction Treasury of H.G. Wells
39,J.D. Robb,Survivor In Death - Penyintas Dalam Kematian
40,Brian Michael Bendis,"All-New X-Men, Vol. 4: All-Different"
41,P.G. Wodehouse,Locuras de Hollywood
42,George Orwell,The Road to Wigan Pier
43,Ray Bradbury,Something Wicked This Way Comes
44,Robert Louis Stevenson,Christmas at Sea
45,F. Scott Fitzgerald,The Notebooks of F. Scott Fitzgerald
46,Danielle Steel,A Mansão Thurston
47,Francine Pascal,"Cover Girls (Sweet Valley High, #129)"
48,Ernest Hemingway,To Have and Have Not
49,Lewis Carroll,"Alice's adventures in Wonderland ; and, Through the looking-glass"
50,Anton Chekhov,Lugas
51,John Steinbeck,Des Souris et des hommes
52,Virginia Woolf,Mrs. Dalloway (Annotated)
53,Michael Connelly,"Хари (Хари Бош, #6)"
54,Meg Cabot,"Seventh Heaven (The Princess Diaries, #7)"
55,Janet Evanovich,"Three to Get Deadly (Stephanie Plum, #3)"
56,Margaret Atwood,Moral Disorder
57,Alexandre Dumas,El conde de Montecristo
58,Robert Kirkman,"The Walking Dead: Safety Behind Bars (The Walking Dead, #3)"
59,Jo Nesbo,Nemesi
60,Sherrilyn Kenyon,"Invincible (Chronicles of Nick, #2)"
61,Robert A. Heinlein,Farmer in the Sky
62,Ursula K. Le Guin,Gifts
63,Orson Scott Card,La tierra en llamas
64,Georges Simenon,The Strangers in the House
65,Unknown,The American Catholic Heritage: Reflections on the Growth and Influence of the Catholic Church in the United States
66,Nicholas Sparks,At First Sight
67,L.M. Montgomery,Anne's House of Dreams (Anne of Green Gables Novels)
68,Jack London,The Sea Wolf
69,Hermann Hesse,Elogio da velhice
70,Sandra Brown,Charada
71,Brandon Sanderson,Edgedancer (The Stormlight Archive #2.5)
72,Alexander McCall Smith,La's Orchestra Saves the World
73,Ken Follett,Le Pays de la liberté
74,Bernard Cornwell,1356
